Department,Sub-Department,Skills,Experience,Job Role
Product Development,Mobile Apps,"Mobile Testing, iOS Development, Android Development, React Native, Mobile UI/UX",3-5 years in mobile app development,Mobile Apps Specialist
Business Development,MENAT/Gulf,"Sales Territory Management, Customer Acquisition, Multilingual Communication, Market Penetration, Regional Marketing",2-3 years in market analysis,MENAT/Gulf Specialist
Human Resources,HRD,"Training Programs, Employee Development, Succession Planning, Leadership Development, Performance Management",3-5 years in HR management,HRD Specialist
Administration,Admin Office,"Office Management, Document Management, Client Communication, Event Planning, Scheduling",3-5 years in facility maintenance,Admin Office Specialist
Business Development,Pre-Sales,"Solution Design, Sales Engineering, Technical Presentations, Client Interaction, Product Demonstrations",3-5 years in sales strategy,Pre-Sales Specialist
Product Management,ERP/ERP/PMS Solutions,"Vendor Management, Product Lifecycle Management, Customer Support, Agile Development, ERP Deployment",3-5 years in product management,ERP/ERP/PMS Solutions Specialist
Business Development,Sales Support,"Sales Pipeline Management, Customer Relationship, Lead Generation, Sales Strategy, Sales Forecasting",3-5 years in sales strategy,Sales Support Specialist
Administration,Admin Office,"Event Planning, Document Management, Office Management, Scheduling, Client Communication",3-5 years in facility maintenance,Admin Office Specialist
Product Management,ERP/ERP/PMS Solutions,"ERP Deployment, Agile Development, Product Lifecycle Management, Customer Support, Vendor Management",3-5 years in customer communication,ERP/ERP/PMS Solutions Specialist
Finance,Sales,"Sales Analytics, Account Reconciliation, Revenue Reporting, Client Budgeting, Financial Reporting",3-5 years in budgeting,Sales Specialist
Finance,Sales,"Sales Analytics, Revenue Reporting, Financial Reporting, Account Reconciliation",3-5 years in budgeting,Sales Specialist
Business Development,Sales Support,"Lead Generation, Customer Relationship, Sales Forecasting, Sales Pipeline Management",2-3 years in market analysis,Sales Support Specialist
Administration,Admin Office,"Document Management, Event Planning, Client Communication, Office Management, Scheduling",3-5 years in facility maintenance,Admin Office Specialist
Human Resources,HRIS,"Employee Records Management, Data Analytics, Benefits Administration, HR Information Systems, HR Software Integration",3-5 years in HR management,HRIS Specialist
Finance,Sales,"Revenue Reporting, Sales Analytics, Account Reconciliation, Client Budgeting, Financial Reporting",3-5 years in budgeting,Sales Specialist
Business Development,Pre-Sales,"Sales Engineering, Solution Design, Client Interaction, Product Demonstrations, Technical Presentations",3-5 years in negotiation,Pre-Sales Specialist
Business Development,Bids,"Contract Negotiation, Tender Management, Competitive Analysis, Bid Strategies",3-5 years in negotiation,Bids Specialist
Product Management,ERP/ERP/PMS Solutions,"ERP Deployment, Agile Development, Vendor Management, Customer Support, Product Lifecycle Management",2-3 years in marketing,ERP/ERP/PMS Solutions Specialist
Administration,Admin Office,"Scheduling, Office Management, Client Communication, Event Planning, Document Management",3-5 years in facility maintenance,Admin Office Specialist
Human Resources,Personnel,"Workforce Planning, Compliance Management, HR Policies, Employee Relations, Payroll Management",3-5 years in HR management,Personnel Specialist
Human Resources,Recruitment,"Job Posting, Hiring Strategy, Talent Acquisition, Employee Onboarding, Interviewing",2-3 years in recruitment,Recruitment Specialist
Human Resources,Recruitment,"Talent Acquisition, Interviewing, Job Posting, Hiring Strategy",2-3 years in recruitment,Recruitment Specialist
Product Development,Mobile Apps,"Mobile Testing, Mobile UI/UX, React Native, iOS Development, Android Development",2-3 years in software development,Mobile Apps Specialist
Product Development,Education Solutions,"Cloud Solutions, Software Development, Data Analytics, Java, System Integration",2-3 years in software development,Education Solutions Specialist
Product Development,Front-End,"React.js, Vue.js, JavaScript, HTML5, Angular",2-3 years in software development,Front-End Specialist
Business Development,Bids,"Proposal Writing, Tender Management, Bid Strategies, Contract Negotiation, Competitive Analysis",3-5 years in sales strategy,Bids Specialist
Professional Services,Infrastructure Design Consulting,"Virtualization, IT Infrastructure, Data Center Planning, Network Architecture, Cloud Computing",2-3 years in project management,Infrastructure Design Consulting Specialist
Professional Services,Documentation,"Business Requirements, Process Documentation, Technical Writing, Knowledge Management, Product Documentation",2-3 years in project management,Documentation Specialist
Administration,Facilities Maintenance,"Preventive Maintenance, Facility Operations, Inventory Control, Building Repairs, Vendor Management",2-3 years in office management,Facilities Maintenance Specialist
Human Resources,HRIS,"Data Analytics, HR Software Integration, Benefits Administration, Employee Records Management, HR Information Systems",3-5 years in payroll management,HRIS Specialist
Professional Services,Infrastructure Design Consulting,"Virtualization, Data Center Planning, IT Infrastructure, Cloud Computing",2-3 years in project management,Infrastructure Design Consulting Specialist
Product Development,Front-End,"HTML5, Vue.js, JavaScript, React.js",3-5 years in mobile app development,Front-End Specialist
Product Development,Mobile Apps,"Android Development, iOS Development, Mobile UI/UX, React Native, Mobile Testing",3-5 years in mobile app development,Mobile Apps Specialist
Product Management,Marketing/Communication,"Public Relations, Social Media Strategy, Content Marketing, SEO Optimization, Brand Development",3-5 years in product management,Marketing/Communication Specialist
Human Resources,Recruitment,"Interviewing, Talent Acquisition, Employee Onboarding, Job Posting",3-5 years in payroll management,Recruitment Specialist
Human Resources,HRD,"Training Programs, Performance Management, Employee Development, Succession Planning, Leadership Development",3-5 years in HR management,HRD Specialist
Professional Services,PMO,"Risk Management, Agile Methodology, Project Management, Stakeholder Communication, Project Scheduling",3-5 years in infrastructure design,PMO Specialist
Professional Services,PMO,"Project Management, Risk Management, Project Scheduling, Agile Methodology",5-7 years in technical support,PMO Specialist
Human Resources,HRIS,"Employee Records Management, Benefits Administration, HR Software Integration, HR Information Systems, Data Analytics",3-5 years in payroll management,HRIS Specialist
Product Management,Education Solutions,"Business Strategy, Customer Analysis, Product Roadmap, User Research, Market Research",2-3 years in marketing,Education Solutions Specialist
Product Management,ERP/ERP/PMS Solutions,"Vendor Management, ERP Deployment, Agile Development, Customer Support",3-5 years in product management,ERP/ERP/PMS Solutions Specialist
Business Development,Sales Support,"Customer Relationship, Sales Forecasting, Sales Pipeline Management, Lead Generation, Sales Strategy",3-5 years in negotiation,Sales Support Specialist
Human Resources,Recruitment,"Hiring Strategy, Job Posting, Employee Onboarding, Interviewing, Talent Acquisition",3-5 years in payroll management,Recruitment Specialist
Administration,Admin Office,"Scheduling, Client Communication, Event Planning, Office Management",3-5 years in facility maintenance,Admin Office Specialist
Professional Services,Support Services,"Technical Support, Customer Communication, Incident Management, Customer Service, IT Troubleshooting",3-5 years in infrastructure design,Support Services Specialist
Product Management,ERP/ERP/PMS Solutions,"Product Lifecycle Management, Customer Support, Agile Development, ERP Deployment, Vendor Management",2-3 years in marketing,ERP/ERP/PMS Solutions Specialist
Product Development,Data Base,"Database Security, NoSQL Databases, SQL Database, Database Optimization, ETL Processes",3-5 years in front-end development,Data Base Specialist
